TARGET_CLASS,Branch_CMX_vs_Default,P_BranchCoverage,Effect_BranchCoverage
de.progra.charting.DefaultChart,0.127222222,0.388961044,0.588888889
ipac.WhoIS,0.116363636,0.000521219,0.96
bcry.bcGenerator,0.067259786,0.191601107,0.595
com.pmdesigns.jvc.tools.TokenMgrError,0.04375,0.77369514,0.54
net.sourceforge.squirrel_sql.fw.gui.CascadeInternalFramePositioner,0.033333333,0.368120251,0.55
de.beiri22.stringincrementor.StringIncrementor,0.022857143,0.148651798,0.65
ghm.follow.gui.TabbedPane,0.014285714,0.209999672,0.642857143
umd.cs.shop.JSTerm,0.0140625,0.595174777,0.575
bcry.battlecryGUI,0.003846154,0.093289956,0.65
net.sf.xisemele.impl.OperationsHelperImpl,0.003703704,0.368120251,0.55
net.virtualinfinity.atrobots.robot.Robot,0.003252033,0.223846971,0.65
net.kencochrane.a4j.DAO.Product,0.003225806,0.368120251,0.55
com.jstevh.viewer.ClassViewer,0.002600473,0.027376667,0.777777778
net.sourceforge.jwbf.mediawiki.actions.queries.TemplateUserTitles,0.002222222,0.368120251,0.55
Client,0.000857143,0.113986956,0.65
jahuwaldt.plot.PlotAxis,0.000338753,1,0.506944444
Convert,1.39E-17,1,0.5
teder.TederFrame,0,1,0.5
org.jcvi.jillion.assembly.consed.phd.DefaultPhdReadTag,0,1,0.5
src.Battle,0,1,0.5
net.sf.lavalamp.device.TimeOfDay,0,1,0.5
MP3,0,1,0.5
bible.util.Queue,0,1,0.5
httpanalyzer.Password,0,1,0.5
geo.google.mapping.AddressToUsAddressFunctor,0,1,0.5
org.heal.util.InterfaceUtilitiesBean,0,1,0.5
com.browsersoft.openhre.hl7.impl.regular.ExpressionImpl,0,1,0.5
com.allenstudio.ir.ui.MainMenu,0,1,0.5
jigl.image.ops.Shift,0,1,0.5
com.densebrain.rif.server.transport.WebServiceDescriptor,0,1,0.5
com.liferay.portal.kernel.servlet.filters.invoker.FilterMapping,0,1,0.5
wheel.asm.FieldWriter,0,1,0.5
uk.me.jockmacmad.jstate.state.Transition,0,1,0.5
com.yahoo.platform.yui.compressor.JavaScriptCompressor,0,1,0.5
com.lts.swing.combobox.SimpleComboBox,0,1,0.5
com.imsmart.servlet.HTMLFilter,0,1,0.5
net.virtualinfinity.atrobots.gui.renderers.RobotRenderer,0,1,0.5
com.ib.client.ComboLeg,0,1,0.5
org.templateit.Region,0,1,0.5
org.javathena.login.parse.FromClient,0,1,0.5
bierse.controller.DefaultSettingsController,0,1,0.5
com.mytdev.resources4j.impl.AbstractResources,0,1,0.5
com.hf.sfm.crypt.Base64,0,1,0.5
src.Purchase,0,1,0.5
com.ib.client.ExecutionFilter,0,1,0.5
com.gbshape.dbe.sapdb.SapdbTableList,0,1,0.5
org.quickserver.util.xmlreader.QuickServerConfig,0,1,0.5
de.devcity.parseargs.ArgsParser,0,1,0.5
jcmdline.HelpCmdLineHandler,0,1,0.5
fi.vtt.noen.mfw.bundle.probe.shared.ProbeInformation,0,1,0.5
com.liferay.portlet.documentlibrary.model.DLSyncWrapper,0,1,0.5
de.outstare.fortbattleplayer.model.impl.SimpleSector,0,1,0.5
jgaapGUI,0,1,0.5
org.jcvi.jillion.assembly.ca.frg.Distance,0,1,0.5
org.petsoar.order.CreditCardInfo,0,1,0.5
src.VassalRebellion,0,1,0.5
ch.bfh.egov.nutzenportfolio.service.fragebogen.NaOpNuDaoService,0,1,0.5
Joshua.FoxHunt.FoxHuntFrame,0,1,0.5
org.sourceforge.ifx.basetypes.IFXObject,0,1,0.5
apbs_mem_gui.Main,0,1,0.5
net.sf.sugar.fspath.FSPathResult,0,1,0.5
lotus.core.phases.Phase,0,1,0.5
com.gotoservers.ftp.FtpApplet,0,1,0.5
Menu,0,1,0.5
geo.google.datamodel.GeoStatusCode,0,1,0.5
org.apache.lucene.search.exposed.compare.NamedCollatorComparator,0,1,0.5
de.huxhorn.lilith.data.access.AccessEvent,0,1,0.5
net.sourceforge.beanbin.reflect.ReflectionSearch,0,1,0.5
com.lts.event.SimpleKeyListenerHelper,0,1,0.5
net.sourceforge.ext4j.taglib.bo.Request,0,1,0.5
org.saxpath.Axis,0,1,0.5
com.yahoo.platform.yui.compressor.ScriptOrFnScope,0,1,0.5
osa.ora.server.client.ui.utils.FontChooserDialog,-2.78E-17,1,0.5
org.firebirdsql.encodings.EncodingFactory,-0.001025641,0.167488756,0.4
com.jstevh.viewer.ClassInfo,-0.001190476,0.655567382,0.445
dsachat.server.Handler,-0.002040816,0.368120251,0.45
net.sourceforge.beanbin.reflect.MethodReflectionCriteria,-0.00212766,0.368120251,0.45
org.exolab.jms.net.socket.SocketRequestInfo,-0.002941176,0.368120251,0.45
jigl.image.levelSetTool.LevelSetNudge,-0.003497444,0.306429005,0.349206349
fi.vtt.noen.testgen.observations.formatter.DaikonFormatter,-0.004225352,0.076715977,0.35
Scanner,-0.005494356,0.004342359,0.111111111
ghm.follow.search.SearchableTextPane,-0.005714286,0.421804189,0.394444444
net.kencochrane.a4j.file.FileUtil,-0.008,0.08296397,0.27
com.allenstudio.ir.util.XmlElement,-0.008421053,0.255852114,0.39
mindbright.ssh.SSHSCPGUIThread,-0.00989011,0.182634928,0.33
weka.core.Memory,-0.010344828,0.203924775,0.35
corina.formats.TucsonSimple,-0.010909091,0.202670896,0.34
org.firebirdsql.jdbc.FBProcedureCall,-0.012244898,0.396102814,0.385
fr.pingtimeout.jtail.gui.view.JTailPanel,-0.013043478,0.269409114,0.365
de.beiri22.stringincrementor.helper.IndexedString,-0.015,0.168078319,0.4
jipa.Variable,-0.017391304,0.517341195,0.43
wheel.asm.ClassWriter,-0.01954023,0.165115721,0.32
ioproject.server.network.ClientGroup,-0.021212121,0.100274325,0.33
net.sf.sugar.fspath.cli.FSPathExplorer,-0.021568627,0.456672134,0.4
com.soops.CEN4010.JMCA.JMCAAnalyzer,-0.025125628,0.791106505,0.46
de.outstare.fortbattleplayer.statistics.BattleStatistics,-0.025712251,0.016863296,0.177777778
ipac.BinaryCalculate,-0.026213592,0.001378862,0.08
com.pmdesigns.jvc.tools.JVCParser,-0.030316742,0.074671937,0.26
org.jsecurity.util.AntPathMatcher,-0.031764706,0.425259098,0.39
org.fixsuite.message.view.TreeView,-0.033333333,0.076715977,0.35
jigl.image.ops.ConnectedComponents,-0.036036036,0.018582335,0.194444444
fr.unice.gfarce.interGraph.ModifTableStockage,-0.037398374,0.003511686,0.115
umd.cs.shop.JSState,-0.03902439,0.03470314,0.3
org.objectweb.asm.jip.ClassReader,-0.040146879,0.289737063,0.355
lotus.core.Game,-0.041666667,0.026603455,0.235
com.werken.saxpath.XPathLexer,-0.044421488,0.000175616,0
net.sf.xbus.base.core.MessageHandler,-0.048148148,0.122364082,0.34
com.soops.CEN4010.JMCA.JParser.JavaCharStream,-0.050462963,0.001450076,0.075
de.progra.charting.CoordSystemUtilities,-0.05326087,0.004923692,0.15
com.lts.io.DirectoryScanner,-0.055172414,0.053271735,0.24
org.objectweb.asm.jip.commons.LocalVariablesSorter,-0.06091954,0.107944372,0.29
org.firebirdsql.gds.impl.wire.AbstractJavaGDSImpl,-0.080480769,0.000179623,0
jipa.Main,-0.082835821,0.000757916,0.06
