TARGET_CLASS,CBranch_CMX_vs_Coverage,P_CBranchCoverage,Effect_CBranchCoverage
com.soops.CEN4010.JMCA.JMCAAnalyzer,0.074874372,0.472008558,0.6
jipa.Main,0.03880597,0.449008973,0.605
jigl.image.ops.Shift,0.035714286,0.374062797,0.555555556
ipac.WhoIS,0.029090909,0.022751588,0.8
org.fixsuite.message.Library,0.025714286,0.368120251,0.55
net.kencochrane.a4j.file.FileUtil,0.02,0.67445155,0.56
de.beiri22.stringincrementor.StringIncrementor,0.02,0.278075687,0.605
net.sf.sugar.fspath.cli.FSPathExplorer,0.019607843,0.543630442,0.58
org.objectweb.asm.jip.MethodWriter,0.018325243,0.384494283,0.62
jigl.image.levelSetTool.LevelSetNudge,0.017100484,0.266969617,0.669642857
umd.cs.shop.JSTerm,0.0140625,0.649161301,0.565
com.yahoo.platform.yui.compressor.ScriptOrFnScope,0.012820513,0.122229175,0.69
wheel.asm.ClassWriter,0.012643678,0.519579413,0.59
org.firebirdsql.jdbc.FBProcedureCall,0.007142857,0.374235553,0.62
com.allenstudio.ir.util.XmlElement,0.006315789,0.440796319,0.595
com.hf.sfm.crypt.Base64,0.00625,0.368120251,0.55
com.pmdesigns.jvc.tools.TokenMgrError,0.00625,0.366191498,0.6
com.soops.CEN4010.JMCA.JParser.JavaCharStream,0.003703704,0.849490444,0.53
com.allenstudio.ir.ui.MainMenu,0.003703704,0.368120251,0.55
wheel.asm.FieldWriter,0.003448276,0.368120251,0.55
com.werken.saxpath.XPathLexer,0.00268595,0.819593042,0.535
org.firebirdsql.gds.impl.wire.AbstractJavaGDSImpl,0.002596154,0.544895745,0.585
ch.bfh.egov.nutzenportfolio.service.fragebogen.NaOpNuDaoService,0.002083333,0.368120251,0.55
dsachat.server.Handler,0.002040816,0.582778218,0.55
mindbright.ssh.SSHSCPGUIThread,0.001098901,0.96759144,0.49
bcry.bcGenerator,0.000711744,0.368120251,0.55
com.jstevh.viewer.ClassInfo,0.000595238,1,0.505
net.virtualinfinity.atrobots.robot.Robot,9.03E-05,1,0.5
net.sf.xisemele.impl.OperationsHelperImpl,0,1,0.5
osa.ora.server.client.ui.utils.FontChooserDialog,0,1,0.5
Client,0,1,0.5
com.lts.event.SimpleKeyListenerHelper,0,1,0.5
jgaapGUI,0,1,0.5
geo.google.mapping.AddressToUsAddressFunctor,0,1,0.5
net.sourceforge.beanbin.reflect.ReflectionSearch,0,1,0.5
com.browsersoft.openhre.hl7.impl.regular.ExpressionImpl,0,1,0.5
net.sourceforge.jwbf.mediawiki.actions.queries.TemplateUserTitles,0,1,0.5
src.Purchase,0,1,0.5
org.firebirdsql.encodings.EncodingFactory,0,0.764177156,0.535
com.densebrain.rif.server.transport.WebServiceDescriptor,0,1,0.5
bierse.controller.DefaultSettingsController,0,1,0.5
jcmdline.HelpCmdLineHandler,0,1,0.5
org.jcvi.jillion.assembly.ca.frg.Distance,0,1,0.5
fi.vtt.noen.mfw.bundle.probe.shared.ProbeInformation,0,1,0.5
net.kencochrane.a4j.DAO.Product,0,1,0.5
MP3,0,1,0.5
apbs_mem_gui.Main,0,1,0.5
Convert,0,1,0.5
bcry.battlecryGUI,0,1,0.5
com.gotoservers.ftp.FtpApplet,0,1,0.5
ghm.follow.gui.TabbedPane,0,1,0.5
net.sourceforge.squirrel_sql.fw.gui.CascadeInternalFramePositioner,0,1,0.5
Menu,0,1,0.5
net.sf.sugar.fspath.FSPathResult,0,1,0.5
src.VassalRebellion,0,1,0.5
com.yahoo.platform.yui.compressor.JavaScriptCompressor,0,1,0.5
com.lts.swing.combobox.SimpleComboBox,0,1,0.5
net.sf.lavalamp.device.TimeOfDay,0,1,0.5
com.jstevh.viewer.ClassViewer,0,1,0.5
com.gbshape.dbe.sapdb.SapdbTableList,0,1,0.5
org.templateit.Region,0,1,0.5
com.liferay.portlet.documentlibrary.model.DLSyncWrapper,0,1,0.5
lotus.core.phases.Phase,0,1,0.5
com.imsmart.servlet.HTMLFilter,0,1,0.5
uk.me.jockmacmad.jstate.state.Transition,0,1,0.5
org.sourceforge.ifx.basetypes.IFXObject,0,1,0.5
httpanalyzer.Password,0,1,0.5
src.Battle,0,1,0.5
Joshua.FoxHunt.FoxHuntFrame,0,1,0.5
org.quickserver.util.xmlreader.QuickServerConfig,0,1,0.5
org.saxpath.Axis,0,1,0.5
net.sourceforge.ext4j.taglib.bo.Request,0,1,0.5
