TARGET_CLASS,CMX_vs_Coverage,P_Coverage,Effect_Coverage
com.soops.CEN4010.JMCA.JMCAAnalyzer,0.074371859,0.545047202,0.585
jigl.image.ops.Shift,0.035714286,0.374062797,0.555555556
net.kencochrane.a4j.file.FileUtil,0.0332,0.173080152,0.68
jipa.Main,0.029477612,0.622783737,0.57
ipac.WhoIS,0.029090909,0.022751588,0.8
org.fixsuite.message.Library,0.025714286,0.368120251,0.55
net.sf.sugar.fspath.cli.FSPathExplorer,0.019607843,0.543630442,0.58
jigl.image.levelSetTool.LevelSetNudge,0.017100484,0.266969617,0.669642857
umd.cs.shop.JSTerm,0.016927083,0.449179914,0.605
org.objectweb.asm.jip.MethodWriter,0.016868932,0.344704222,0.63
de.beiri22.stringincrementor.StringIncrementor,0.015714286,0.328971774,0.595
wheel.asm.ClassWriter,0.012931034,0.403549581,0.615
mindbright.ssh.SSHSCPGUIThread,0.012087912,0.677837451,0.555
org.firebirdsql.jdbc.FBProcedureCall,0.006122449,0.484911595,0.595
com.allenstudio.ir.util.XmlElement,0.005263158,0.441456791,0.595
wheel.asm.FieldWriter,0.003448276,0.368120251,0.55
de.outstare.fortbattleplayer.statistics.BattleStatistics,0.00295584,0.498760468,0.594444444
org.firebirdsql.gds.impl.wire.AbstractJavaGDSImpl,0.002403846,0.705139803,0.555
ch.bfh.egov.nutzenportfolio.service.fragebogen.NaOpNuDaoService,0.002083333,0.368120251,0.55
dsachat.server.Handler,0.002040816,0.582778218,0.55
com.werken.saxpath.XPathLexer,0.001446281,0.819390457,0.465
bcry.bcGenerator,0.000355872,0.368120251,0.55
com.jstevh.viewer.ClassInfo,0.000297619,1,0.505
net.virtualinfinity.atrobots.robot.Robot,9.03E-05,1,0.5
com.jstevh.viewer.ClassViewer,1.73E-18,1,0.5
net.sf.xisemele.impl.OperationsHelperImpl,0,1,0.5
osa.ora.server.client.ui.utils.FontChooserDialog,0,1,0.5
Client,0,1,0.5
com.lts.event.SimpleKeyListenerHelper,0,1,0.5
com.yahoo.platform.yui.compressor.ScriptOrFnScope,0,1,0.5
geo.google.mapping.AddressToUsAddressFunctor,0,1,0.5
net.sourceforge.beanbin.reflect.ReflectionSearch,0,1,0.5
