configuration_id,TARGET_CLASS,criterion,Coverage,BranchCoverage,CBranchCoverage,Total_Branches,Covered_Branches,Covered_Branches_Real,Total_Goals,Covered_Goals;
DEFAULT,com.ib.client.ComboLeg,BRANCH;CBRANCH,1.0,1.0,1.0,18,18,18,42,42
DEFAULT,com.ib.client.ComboLeg,BRANCH;CBRANCH,1.0,1.0,1.0,18,18,18,42,42
DEFAULT,com.ib.client.ComboLeg,BRANCH;CBRANCH,1.0,1.0,1.0,18,18,18,42,42
DEFAULT,com.ib.client.ComboLeg,BRANCH;CBRANCH,1.0,1.0,1.0,18,18,18,42,42
DEFAULT,com.ib.client.ComboLeg,BRANCH;CBRANCH,1.0,1.0,1.0,18,18,18,42,42
DEFAULT,com.ib.client.ComboLeg,BRANCH;CBRANCH,1.0,1.0,1.0,18,18,18,42,42
DEFAULT,com.ib.client.ComboLeg,BRANCH;CBRANCH,1.0,1.0,1.0,18,18,18,42,42
DEFAULT,com.ib.client.ComboLeg,BRANCH;CBRANCH,1.0,1.0,1.0,18,18,18,42,42
DEFAULT,com.ib.client.ComboLeg,BRANCH;CBRANCH,1.0,1.0,1.0,18,18,18,42,42
DEFAULT,com.ib.client.ComboLeg,BRANCH;CBRANCH,1.0,1.0,1.0,18,18,18,42,42
CMX,com.ib.client.ExecutionFilter,BRANCH;CBRANCH,1.0,1.0,1.0,18,18,18,40,40
CMX,com.ib.client.ExecutionFilter,BRANCH;CBRANCH,1.0,1.0,1.0,18,18,18,40,40
CMX,com.ib.client.ExecutionFilter,BRANCH;CBRANCH,1.0,1.0,1.0,18,18,18,40,40
CMX,com.ib.client.ExecutionFilter,BRANCH;CBRANCH,1.0,1.0,1.0,18,18,18,40,40
CMX,com.ib.client.ExecutionFilter,BRANCH;CBRANCH,1.0,1.0,1.0,18,18,18,40,40
CMX,com.ib.client.ExecutionFilter,BRANCH;CBRANCH,1.0,1.0,1.0,18,18,18,40,40
CMX,com.ib.client.ExecutionFilter,BRANCH;CBRANCH,1.0,1.0,1.0,18,18,18,40,40
CMX,com.ib.client.ExecutionFilter,BRANCH;CBRANCH,1.0,1.0,1.0,18,18,18,40,40
CMX,com.ib.client.ExecutionFilter,BRANCH;CBRANCH,1.0,0.95,0.95,18,17,17,40,38
CMX,com.ib.client.ExecutionFilter,BRANCH;CBRANCH,1.0,1.0,1.0,18,18,18,40,40
DEFAULT,com.ib.client.ExecutionFilter,BRANCH;CBRANCH,1.0,1.0,1.0,18,18,18,40,40
DEFAULT,com.ib.client.ExecutionFilter,BRANCH;CBRANCH,1.0,1.0,1.0,18,18,18,40,40
